course_id,title,teacher,subject,description,reviews,grade,platform,is_paid,price,dificulty_level
S20240000899,[2026 수능특강] 한병훈의 독서 - 전 문항,한병훈,독서,"학습단계:개념완성
수준:기본",2673,고3,EBS,False,0,기본
S20250000002,[2026 수능특강] 한병훈의 문학 - 전 문항,한병훈,문학,"학습단계:개념완성
수준:기본",1837,고3,EBS,False,0,기본
S20240000896,[2026 수능특강] 최서희의 문학 - 전 문항,최서희,문학,"강좌범위:★ [100% 연계 적중-저자 직강] 최서희의 수특 문학, 신화는 계속된다 ★
-빈틈없는 밀착 강의, 수특 문학 근본 있는 강의-

■ 수강 대상
- 2026 수능을 위한 수특 문학 연계 교재를 제대로 정리하고 싶은 수험생
- 매 수능 100% 연계 작품 적중 신화를 생생하게 느끼고 싶은 수험생
- 수능 출제 가능성에 따른 작품 중요도를 정확히 분석하여 공부하고 싶은 수험생
- 2026 수특 문학 수록 작품 관련 모든 기출 문제를 탈탈 털고 싶은 수험생

■ 강의 특징
❏ 저자 직강
⇨ 수특 집필진인 최서희 강사의 고퀄리티 강의로 출제자의 의도를 파헤칩니다.

❏ 수록된 전 작품, 전 문항 분석 및 풀이
⇨ 수능에 출제되는 문학 작품의 약 50%가 수능특강 교재에서 연계됩니다.
수특 문학에 수록된 모든 작품과 모든 문제를 빠짐없이 분석하고 풀이합니다.

❏ 기출 탈탈 털어 쏙쏙 뽑아 - 학습 자료
⇨ 강의를 통해 배운 내용을 적용 및 정리해 볼 수 있는 추가 학습자료를 풍부하게 제공합니다.

❏ ‘콕’ 집어, 이것만은 ‘꼭’
⇨ 수능 출제자의 관점에서 수특 수록 작품의 중요도를 분석합니다.
⇨ 2026 수능 개념 국어 담판의 강의와 연계하여 수준별 학습 보완 방법을 명확하게 제시합니다.
강좌특징:핵심을 확실하게 알려주는 강좌
출제자의 입장에서 접근하는 강좌
풍부한 강의 자료가 있는 강좌",1413,고3,EBS,False,0,기본
S20250000032,[2026 내신만점 수능특강] 김상태의 문학,김상태,문학,"강좌범위:👨🏻‍🍳 내신 맛집의 비법 대공개 : 내신과 수능을 아우르는 '수능특강 문학' 연계 학습 🍱

▪ 수강 대상
🍳 학교 시험 범위에 들어가는 수능특강을 공부하고 싶은 학생 🙋🏻‍♀️
🍳 '수능특강 문학'에 수록된 작품을 복습하며 연계 학습을 하고 싶은 학생 🙋🏻‍♂️
⇨ 내신 및 수능에서 ‘한 끗’을 더할 그 누구나! 😋
강좌특징:다양한 접근법 제시 강좌
풍부한 강의 자료가 있는 강좌
꼼꼼한 지문·작품 분석 강좌",47,고3,EBS,False,0,기초
S20250000033,[2026 내신만점 수능특강] 차해나의 독서,차해나,독서,"강좌특징:요점을 확실하게 알려주는 강좌
출제자의 입장에서 접근하는 강좌
풍부한 강의 자료가 있는 강좌
추천대상:연계 교재를 한 번 정리한 수강생 강좌
변형 문제가 필요한 수강생 강좌
수능+내신 모두 대비하고 싶은 수강생 강좌",10,고3,EBS,False,0,기초
S20240000902,[2026 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,화법과 작문,"강좌범위:🦄수능 만점으로 가는 만능 열쇠: 2026 수능특강 이현진의 화법과 작문

1️⃣ 수능 화작에 필요한 핵심 개념
2️⃣ 최근의 평가원 출제 경향, 개정 교육과정에서의 강조점 반영
3️⃣ 담화 유형, 글의 유형별 문제 유형 총정리
4️⃣ 수능특강 화법과 작문: 수능 연계 교재의 모든 것
강좌특징:핵심을 확실하게 알려주는 강좌
전략적으로 접근하는 강좌
출제자의 입장에서 접근하는 강좌",398,고3,EBS,False,0,기본
S20250000034,[2026 내신만점 수능특강] 이영현의 화법과 작문,이영현,화법과 작문,"학습단계:학교시험대비
수준:기초",41,고3,EBS,False,0,기초
S20240000904,[2026 수능특강] 김상태의 언어와 매체 - 전 문항,김상태,언어와 매체,"강좌범위:📒 내 손으로 만드는 『수능특강』 완전 해설서
- 개념부터 문제까지, 온전히 내 것으로 만드는 수능 연계 교재 😎

▪ 수강 대상
👦🏻 ‘언어와 매체’의 핵심 개념과 그 체계를 복습하고 싶은 학생
👧🏻 개념을 문제에 적용하며 실전 감각과 출제 요소를 익히고 싶은 학생
⇨ 『수능특강』을 알차고 완전하게 학습하고 싶은 학생 그 누구나 🤗
강좌특징:꼼꼼한 강좌
기본에 충실한 강좌
동기부여가 되는 강좌",380,고3,EBS,False,0,기본
S20250000035,[2026 내신만점 수능특강] 김민정의 언어와 매체,김민정,언어와 매체,"강좌범위:■ 수강 대상
- “선생님, 저 내신 시험 얼마 안 남았는데 아직 개념 학습도 부족해요.”
→ 언어와 매체 내신 시험에 필요한 개념을 완벽하게 학습하고 싶은 학생

- “선생님, 저 개념은 어느 정도 학습한 것 같은데 문제만 풀면 자꾸 틀려요.”
→ 개념을 인출하고 문제를 해결하는 능력을 갖추고 싶은 학생

- “선생님, 저 수능 특강 문제는 어느 정도 풀겠는데 심화 문제도 대비해보고 싶어요!”
→ 내신용 심화 문제까지 대비하며 언어와 매체 내신 시험 고득점을 노리는 학생

■ 강의 특징
❏ 개념의 꼼꼼한 정리
수능 특강에 정리된 개념뿐 아니라 관련된 빈출 개념, 내신 시험에서 특히 헷갈리는 부분까지 꼼꼼하게 정리합니다.

❏ 문제 유형 분석 및 문제 풀이 방법 체화
정답을 ‘누구보다 빠르게 남들과는 다르게’ 찾아내는 방법을 적용 및 심화 단계의 문제로 함께 연습합시다.
강좌특징:꼼꼼한 강좌
핵심을 확실하게 알려주는 강좌
출제자의 입장에서 접근하는 강좌",83,고3,EBS,False,0,기초
S20240000908,[2026 수능특강] 정상모의 수학Ⅰ - 전 문항,정상모,수학I,"강좌범위:1. 지수와 로그
2. 지수함수와 로그함수
3. 삼각함수
4. 사인법칙과 코사인법칙
5. 등차수열과 등비수열
6. 수열의 합과 수학적 귀납법
강좌특징:꼼꼼한 강좌
다양한 문제풀이 방식을 알려주는 강좌
쉽게 설명하는 강좌",38,고3,EBS,False,0,기본
S20240000909,[2026 수능특강] 최은진의 수학Ⅰ - 고난도,최은진,수학I,"학습단계:개념완성
수준:발전",13,고3,EBS,False,0,발전
S20240000912,[2026 수능특강] 정유빈의 확률과 통계 - 전 문항,정유빈,확률과통계,"강좌특징:요점을 확실하게 알려주는 강좌
쉽게 설명하는 강좌
재미있는 강좌
추천대상:기본 개념을 전체적으로 한 번 정리한 수강생 강좌
수능+내신 모두 대비하고 싶은 수강생 강좌
실전력을 키우고 싶은 수강생 강좌",44,고3,EBS,False,0,기본
