course_id,title,teacher,description,reviews
S20240000899,,,,2474
S20250000002,,,,1664
S20240000896,[2026 수능특강] 최서희의 문학 - 전 문항,최서희,"★ [100% 연계 적중-저자 직강] 최서희의 수특 문학, 신화는 계속된다 ★
-빈틈없는 밀착 강의, 수특 문학 근본 있는 강의-

■ 수강 대상
- 2026 수능을 위한 수특 문학 연계 교재를 제대로 정리하고 싶은 수험생
- 매 수능 100% 연계 작품 적중 신화를 생생하게 느끼고 싶은 수험생
- 수능 출제 가능성에 따른 작품 중요도를 정확히 분석하여 공부하고 싶은 수험생
- 2026 수특 문학 수록 작품 관련 모든 기출 문제를 탈탈 털고 싶은 수험생

■ 강의 특징
❏ 저자 직강
⇨ 수특 집필진인 최서희 강사의 고퀄리티 강의로 출제자의 의도를 파헤칩니다.

❏ 수록된 전 작품, 전 문항 분석 및 풀이
⇨ 수능에 출제되는 문학 작품의 약 50%가 수능특강 교재에서 연계됩니다.
수특 문학에 수록된 모든 작품과 모든 문제를 빠짐없이 분석하고 풀이합니다.

❏ 기출 탈탈 털어 쏙쏙 뽑아 - 학습 자료
⇨ 강의를 통해 배운 내용을 적용 및 정리해 볼 수 있는 추가 학습자료를 풍부하게 제공합니다.

❏ ‘콕’ 집어, 이것만은 ‘꼭’
⇨ 수능 출제자의 관점에서 수특 수록 작품의 중요도를 분석합니다.
⇨ 2026 수능 개념 국어 담판의 강의와 연계하여 수준별 학습 보완 방법을 명확하게 제시합니다.",1307
S20240000902,[2026 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,"🦄수능 만점으로 가는 만능 열쇠: 2026 수능특강 이현진의 화법과 작문

1️⃣ 수능 화작에 필요한 핵심 개념
2️⃣ 최근의 평가원 출제 경향, 개정 교육과정에서의 강조점 반영
3️⃣ 담화 유형, 글의 유형별 문제 유형 총정리
4️⃣ 수능특강 화법과 작문: 수능 연계 교재의 모든 것",392
S20240000904,[2026 수능특강] 김상태의 언어와 매체 - 전 문항,김상태,"📒 내 손으로 만드는 『수능특강』 완전 해설서
- 개념부터 문제까지, 온전히 내 것으로 만드는 수능 연계 교재 😎

▪ 수강 대상
👦🏻 ‘언어와 매체’의 핵심 개념과 그 체계를 복습하고 싶은 학생
👧🏻 개념을 문제에 적용하며 실전 감각과 출제 요소를 익히고 싶은 학생
⇨ 『수능특강』을 알차고 완전하게 학습하고 싶은 학생 그 누구나 🤗",370
S20240000908,[2026 수능특강] 정상모의 수학Ⅰ - 전 문항,정상모,"1. 지수와 로그
2. 지수함수와 로그함수
3. 삼각함수
4. 사인법칙과 코사인법칙
5. 등차수열과 등비수열
6. 수열의 합과 수학적 귀납법",34
S20240000909,,,,12
S20240000912,[2026 수능특강] 정유빈의 확률과 통계 - 전 문항,정유빈,"요점을 확실하게 알려주는 강좌
쉽게 설명하는 강좌
재미있는 강좌",39
S20240000021,[2025 수능특강] 정승제의 확률과 통계,정승제,"01 여러가지순열
02 중복조합과 이항정리
03 확률의 뜻과 활용
04 조건부확률
05 이산확률변수의 확률분포
06 연속확률변수의 확률분포
07 통계적 추정",47
S20240000910,[2026 수능특강] 이하영의 수학Ⅱ - 전 문항,이하영,"다양한 접근법 제시 강좌
친절한 강좌
깔끔한 판서 강좌",23
S20240000906,[2026 수능특강] 정종영의 수학종합(수학Ⅰ+Ⅱ) - 핵심 요약,정종영,"수능특강 수학1 + 수학2 전 문항 풀이!
연계 교재는 이 한 강좌로 All Kill !!",737
S20240000916,[2026 수능특강] 안국선의 기하 - 전 문항,안국선,"▣ 강좌범위
- 2015 개정 교육과정 기하
- [2026 수능특강] 기하 개념 정리 및 모든 문항 풀이
- 수능특강을 통해 연습해야하는 필수 요소를 담은 기출문제 풀이

▣ 수강 대상
- 2026 수능 기하를 준비하는 모든 고3·N수생

▣ 강좌의 특징
(1) 수능에 꼭 필요한 개념 정리
- 기하 개념 중 수능에 꼭 필요한 개념만 요약하여 정리
(2) 기출문제와 연계교재를 통해 문항별 핵심 개념 잡기
- 문항별로 자신의 약한 개념을 짚고 넘어갈 수 있도록 문항별 핵심 개념을 정리
(3) 문제를 ‘어떻게’ 푸는가보다 ‘왜’ 그렇게 푸는가를 설명
- 문제 해결 원리를 이해하여 스스로 문제를 해결할 수 있는 힘을 길러주는 강의
(4) 다양한 풀이를 제공
- 다양한 풀이를 통해 문제를 다각도로 접근하는 힘을 기를 수 있는 강의
(5) 50분이 지루할 틈이 없는 강의
- 다양한 동작과 표정, 목소리 톤의 조절 등으로 생동감 넘치는 강의",39
S20240000918,[2026 수능특강] 주혜연의 영어 - 전 문항,주혜연,[2026 수능특강] 영어 -전 문항,1017
S20240000919,,,,660
S20240000920,,,,20
S20240000923,[2026 수능특강] 김수연의 영어독해연습 - 전 문항,김수연,"⮫풍부한 예시, 쉬운 설명, 완벽한 내용 이해!⮪

✓ 고변별 유형에 대한 자세하고 확실한 분석
✓ 꼼꼼하고 정확한 정석 독해로 수능 + 내신 대비까지
✓ 아무리 어려운 내용이라도 이해할 수 있는 언어로, 재미있게!

""정답의 근거를 바탕으로 한 전략적인 풀이법
& 지문마다 놓쳐서는 안 될 포인트 '쑤인트' 제공""",137
S20240000787,[2026 수능개념] 김수연의 구문에서 독해까지 구독 RUN,김수연,"<단 한 권으로 끝내는 영어 개념서, 구문에서 독해까지 구독 RUN>

1. 쉽게 이해할 수 있는 말로 설명된 책
2. 수능 독해에 꼭 필요한 것만 담은 책
3. 배운 것을 실전에 바로 적용할 수 있는 책

☑ PARTⅠ 구문편 ➜ 문장 단위 독해
수능 영어 독해에 꼭 필요한 구문만!

☑ PARTⅡ 구독편 ➜ 문장 간 독해
구문에서 독해로 이어지는 연결고리!

☑ PARTⅢ 독해편 ➜ 지문 독해
실전 독해에 적용해 보기!",173
S20240000924,,,,81
S20240000925,,,,10
S20250000001,[2026 수능특강] 이충모의 한국사 - 전 문항,이충모,"핵심을 확실하게 알려주는 강좌
출제자의 입장에서 접근하는 강좌
재미있는 강좌",111
S20240000926,[2026 수능특강] 김준우의 한국사 - 전 문항,김준우,"2026학년도 대수능을 보는 모든 수험생들을 위한
수능 한국사 전문가 쭌쌤의 수능 강의~!!!
수능특강 연계 교재 처음부터 끝까지
원하는 만큼 듣고 1등급 받으면 됩니다.",23
S20240000927,,,,15
S20240000791,[2026 수능개념] 김준우의 단 한 권 한국사 [개념편],김준우,"수능 한국사 전범위
핵심 개념 30개를 단 한권으로 정리한 친절한 교재와 함께 정리합니다.
수능 한국사 1등급을 원하신다면 주저말고 선택하세요~!",29
S20240000835,[2026 수능개념] 김준우의 단 한 권 한국사 [실전편],김준우,"2023학년도 대학수학능력시험부터 2024학년도 9월 모의평가시험까지
한국사 기출문제 120문항을 담았습니다.
수능 한국사는 기출 문제를 통해서도 충분히 수능을 대비 할 수 있습니다.
문제를 통해 실전을 대비해 보자구요~!",4
S20240000852,[2026 수능 기출의 미래] 한국사,이충모,"이 강의. 교재 필요 없는 교재강의입니다.
(*물론 교재가 있으면 더 좋습니다.)

♥ 본격 혼밥용 강의입니다. 혼자 밥먹을때 그냥 틀어놓으세요. ♥
유튜브나 릴스 보는거 죄책감들때 보시면 됩니다.

♥ 한국사 ASMR입니다. 이동중에 그냥 들으셔도 돼요. ♥

그냥 들었을 뿐인데 모의고사에서 정답이 보이고, 3등급이 확보되는 마법을 보여드립니다.",10
S20210001278,[고등학생을 위한 多담은 한국사 연표] 완벽정리,김준우,"자세한 강좌
스토리텔링형 강좌
흐름을 잡는 강좌",15
S20240000928,[2026 수능특강] 강승희의 생활과 윤리 - 전 문항,강승희,"[2026 수능특강] 생활과 윤리 - 전 문항 풀이

1. 개념 : 키워드와 논리로 엮는 실전 개념
2. 문풀 : 이해하고 유추하는 문항 분석
3. 깊고 넓고 빠르게. 가장 탄탄하고 효율적인 강의",118
S20240000931,,,,224
S20240000929,[2026 수능특강] 이호성의 생활과 윤리 - 고난도 핵심 요약,이호성,"꼼꼼한 강좌
핵심을 확실하게 알려주는 강좌
깔끔한 정리형 강좌",44
S20240000933,,,,474
S20240000938,[2026 수능특강] 정선아의 동아시아사 - 전 문항,정선아,"수능특강 동아시아사는 선사-현대사까지 1단원-10단원 전체 전 영역의 모든 문항을 다 풀어가는 강좌입니다.
연계교재 문항은 다 풀어야 합니다. 문제 풀기에 앞서 연계교재 개념 정리는 어떻게 해야하는지, 연계되는 자료(사료)는 어떻게 자료플러스와 문항에서 다뤄지는지 살펴보고 전 문항을 함께 풉니다.

<2026학년도 수능특강 강의 소개>
1. 대수능에 50퍼센트 연계되는 연계교재 수능특강의 전문항을 풀기!
2. 수능개념 때 개념 강의했으니 개념은 패스?
수능특강 교재에 나온 개념을 수능개념보다 빠르게 정리
동아시아사 완전 노베이스 => 수능개념 처음부터 싹 듣기
동아시아사 수능특강 개념 내용을 듣다가 기초가 부족하다 싶으면 => 수능개념 해당 단원 개념강의만 쏙쏙 듣고 오기
3. 수능특강 단원별 기출된 사건, 인물, 주제만 정해서
완벽한 이해를 돕는 스토리 영상!!!!!이 함께
4. 학습자료실에 가면 한판 필기노트 + 수능특강 개념체크 문제 + 기출문제 문항,해설,분석지까지

완벽한 자료와 분석
어떻게 출제되는지 왜 그게 출제되는지 확인할 수 있습니다.

동아시아사 No.1",15
S20240000794,,,,105
S20240000945,,,,70
S20240000963,[2026 수능특강] 양은혜의 지구과학Ⅰ - 전 문항,양은혜,수능특강 지구과학Ⅰ 전범위,884
S20240000958,[2026 수능특강] 박소현의 생명과학Ⅰ - 전 문항,박소현,2015개정 교육과정 생명과학Ⅰ 전 범위,15
S20240000953,[2026 수능특강] 박주원의 화학Ⅰ - 전 문항,박주원,"수능 화학1 전범위
연계교재 전문항 풀이",95
S20240000960,,,,7
S20240000959,,,,145
S20240000965,[2026 수능특강] 서인혜의 지구과학Ⅰ - 고난도,서인혜,지구과학 Ⅰ전 범위,4
S20240000859,,,,3
